added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
7/29/26,1121461509810849792,Baseball,628,New York Yankees,New York Yankees,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461509810849792-1-CoWZ.jpg,https://storage.googleapis.com/collx-product-images/1121461509810849792-2-WZwQ.jpg,1.00,1,,,Donkey on Fire,,1
7/29/26,1121461510381275136,Baseball,527,Maikel Garcia,Kansas City Royals,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461510381275136-1-sa3l.jpg,,0.99,1,,,Donkey on Fire,,1
7/29/26,1121461510934923264,Baseball,667,Kodai Senga,New York Mets,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461510934923264-1-Jh4c.jpg,,1.00,1,,,Donkey on Fire,,1
7/29/26,1121461511522125824,Baseball,370,Brayan Rocchio,Cleveland Guardians,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461511522125824-1-iP6O.jpg,,0.50,0.5,,,Donkey on Fire,,1
7/29/26,1121461512453261312,Baseball,441,Lars Nootbaar,St. Louis Cardinals,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461512453261312-1-tmHs.jpg,,1.25,1.5,,,Donkey on Fire,,1
7/29/26,1121461513040463872,Baseball,515,Blaze Alexander,Baltimore Orioles,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461513040463872-1-0Ws.jpg,https://storage.googleapis.com/collx-product-images/1121461513040463872-2-eqx.jpg,1.34,1.5,,,Donkey on Fire,,1
7/29/26,1121461513996765184,Baseball,499,D.C. Dudes (CJ Abrams / James Wood),Washington Nationals,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461513996765184-1-bnNV.jpg,,0.31,0.5,,,Donkey on Fire,,1
7/29/26,1121461514575579136,Baseball,686,Carson Kelly,Chicago Cubs,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461514575579136-1-bWXQ.jpg,,0.99,1,,,Donkey on Fire,,1
7/29/26,1121461515171170304,Baseball,563,Ji Hwan Bae,New York Mets,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461515171170304-1-Vz9Q.jpg,,1.99,2,,,Donkey on Fire,,1
7/29/26,1121461500918925312,Baseball,466,Trevor McDonald,San Francisco Giants,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461500918925312-1-bwcI.jpg,https://storage.googleapis.com/collx-product-images/1121461500918925312-2-WoRg.jpg,0.57,0.5,,,Donkey on Fire,,1
7/29/26,1121461501573236736,Baseball,396,Raisel Iglesias,Atlanta Braves,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461501573236736-1-xPx1.jpg,https://storage.googleapis.com/collx-product-images/1121461501573236736-2-kJbh.jpg,0.20,0.25,,,Donkey on Fire,,1
7/29/26,1121461502185605120,Baseball,449,Sandy Alcantara,Miami Marlins,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461502185605120-1-Pfo1.jpg,https://storage.googleapis.com/collx-product-images/1121461502185605120-2-zZZL.jpg,1.00,1,,,Donkey on Fire,,1
7/29/26,1121461503116740608,Baseball,514,Zac Veen,Colorado Rockies,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461503116740608-1-I72l.jpg,https://storage.googleapis.com/collx-product-images/1121461503116740608-2-wSBa.jpg,0.43,0.5,,,Donkey on Fire,,1
7/29/26,1121461504039487488,Baseball,517,Stars Align (Mike Trout / Zach Neto),Los Angeles Angels,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461504039487488-1-Vx0.jpg,https://storage.googleapis.com/collx-product-images/1121461504039487488-2-OGyo.jpg,0.66,0.5,,,Donkey on Fire,,1
7/29/26,1121461504593135616,Baseball,669,Randy Vásquez,San Diego Padres,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461504593135616-1-cbFi.jpg,https://storage.googleapis.com/collx-product-images/1121461504593135616-2-t2hZ.jpg,0.43,0.5,,,Donkey on Fire,,1
7/29/26,1121461505515882496,Baseball,479,Muscle Men (Aaron Judge / Cody Bellinger),New York Yankees,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461505515882496-1-lklW.jpg,https://storage.googleapis.com/collx-product-images/1121461505515882496-2-WeWA.jpg,1.18,1,,,Donkey on Fire,,1
7/29/26,1121461506077919232,Baseball,522,Miami Marlins,Miami Marlins,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461506077919232-1-BvT.jpg,https://storage.googleapis.com/collx-product-images/1121461506077919232-2-02gn.jpg,0.50,0.5,,,Donkey on Fire,,1
7/29/26,1121461507034220544,Baseball,680,Carlos Correa,Houston Astros,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461507034220544-1-CBBH.jpg,https://storage.googleapis.com/collx-product-images/1121461507034220544-2-pSxM.jpg,2.95,3,,,Donkey on Fire,,1
7/29/26,1121461508116350976,Baseball,670,Kyle Harrison,Milwaukee Brewers,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461508116350976-1-DSnB.jpg,https://storage.googleapis.com/collx-product-images/1121461508116350976-2-rB4x.jpg,0.99,1,,,Donkey on Fire,,1
7/29/26,1121461508837771264,Baseball,489,James Outman,Minnesota Twins,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461508837771264-1-ot5s.jpg,https://storage.googleapis.com/collx-product-images/1121461508837771264-2-Bp.jpg,1.00,1,,,Donkey on Fire,,1
7/29/26,1121461500298168320,Baseball,600,Juan Soto,New York Mets,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461500298168320-1-Yfpa.jpg,https://storage.googleapis.com/collx-product-images/1121461500298168320-2-82oC.jpg,10.00,10,,,Donkey on Fire,,1
7/29/26,1121461417192228864,Baseball,506,Edwin Díaz,Los Angeles Dodgers,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461417192228864-1-dgnd.jpg,,1.00,1,,,Donkey on Fire,,1
7/29/26,1121461418156918784,Baseball,504,Tanner Houck,Boston Red Sox,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461418156918784-1-kUyZ.jpg,,1.35,1.5,,,Donkey on Fire,,1
7/29/26,1121461408644237312,Baseball,473,Bo Bichette,New York Mets,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461408644237312-1-eyNd.jpg,https://storage.googleapis.com/collx-product-images/1121461408644237312-2-hE9R.jpg,2.25,2.5,,,Donkey on Fire,,1
7/29/26,1121461409374046208,Baseball,656,Aroldis Chapman,Boston Red Sox,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461409374046208-1-heJ.jpg,https://storage.googleapis.com/collx-product-images/1121461409374046208-2-4yPI.jpg,1.49,1,,,Donkey on Fire,,1
7/29/26,1121461410036746240,Baseball,426,Matt Wallner,Minnesota Twins,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461410036746240-1-Zr2O.jpg,https://storage.googleapis.com/collx-product-images/1121461410036746240-2-2VSz.jpg,0.90,1,,,Donkey on Fire,,1
7/29/26,1121461411127265280,Baseball,651,Abner Uribe,Milwaukee Brewers,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461411127265280-1-ClqR.jpg,https://storage.googleapis.com/collx-product-images/1121461411127265280-2-aIVZ.jpg,0.99,1,,,Donkey on Fire,,1
7/29/26,1121461411831908352,Baseball,361,Davis Schneider,Toronto Blue Jays,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1121461411831908352-1-Q2Rj.jpg,https://storage.googleapis.com/collx-product-images/1121461411831908352-2-MBIW.jpg,1.29,1.5,,,Donkey on Fire,,1
